,,,,,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,r,R,theta,p_s,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
3-2-20-0.2-0.5,100,10,2,20,0.2,0.5,106,110,0.2,219,0.0,2.0,24.400000,24.400,307,134,173,0.1,20,0.0,0.9,24.400000,24.400,290,126,164,0.2,8,0.0,0.3,24.400000,24.400,433,126,147,160,0.1,5,0.0,0.2,24.400000,24.400,409,127,150,132
4-1-20-0.01-0.1,100,20,1,20,0.01,0.1,100,62,1.4,1972,0.0,0.2,22.889100,22.889,285,139,146,0.1,21,0.0,0.1,22.889100,22.889,292,150,142,0.2,13,0.0,0.1,22.889100,22.889,412,143,139,130,0.1,11,0.0,0.1,22.889100,22.889,396,143,149,104
4-1-20-0.01-0.2,100,20,1,20,0.01,0.2,100,62,0.7,968,0.0,0.3,25.758400,25.758,307,149,158,0.9,1936,0.0,0.1,25.758400,25.758,288,145,143,0.2,0,0.0,0.0,25.758400,25.758,410,144,140,126,0.1,12,0.0,0.1,25.758400,25.758,420,144,136,140
4-1-20-0.01-0.5,100,20,1,20,0.01,0.5,100,62,0.1,96,0.0,0.3,34.247500,34.248,297,142,155,0.1,17,0.0,0.4,34.247500,34.248,293,148,145,0.3,6,0.0,0.3,34.247500,34.248,478,156,138,184,0.1,3,0.0,0.0,34.247500,34.248,410,145,141,124
4-1-20-0.1-0.1,100,20,1,20,0.1,0.1,100,62,0.8,1521,0.0,0.2,22.881000,22.881,287,139,148,0.1,8,0.0,0.0,22.881000,22.881,279,137,142,0.6,8,0.0,0.1,22.881000,22.881,389,141,138,110,0.1,11,0.0,0.1,22.881000,22.881,367,139,150,78
4-1-20-0.1-0.2,100,20,1,20,0.1,0.2,100,62,0.1,91,0.0,0.2,25.744000,25.744,288,143,145,0.1,24,0.0,0.2,25.744000,25.744,293,150,143,0.2,6,0.0,0.0,25.744000,25.744,401,140,135,126,0.1,5,0.0,0.1,25.744000,25.744,344,131,139,74
4-1-20-0.1-0.5,100,20,1,20,0.1,0.5,100,62,0.1,12,0.0,0.5,34.225000,34.225,284,143,141,0.8,23,0.0,0.5,34.225000,34.225,281,137,144,0.1,5,0.0,0.2,34.225000,34.225,387,145,136,106,0.1,2,0.0,0.0,34.225000,34.225,384,140,140,104
4-1-20-0.2-0.1,100,20,1,20,0.2,0.1,100,62,0.9,1936,0.0,0.1,22.872000,22.872,279,138,141,0.1,8,0.0,0.0,22.872000,22.872,279,137,142,0.3,5,0.0,0.0,22.872000,22.872,389,141,138,110,0.2,11,0.0,0.1,22.872000,22.872,430,150,150,130
4-1-20-0.2-0.2,100,20,1,20,0.2,0.2,100,62,0.7,1625,0.0,0.2,25.728000,25.728,286,140,146,0.6,12,0.0,0.2,25.728000,25.728,282,139,143,0.2,9,0.0,0.1,25.728000,25.728,402,143,139,120,0.1,1,0.0,0.0,25.728000,25.728,310,126,140,44
4-1-20-0.2-0.5,100,20,1,20,0.2,0.5,100,62,0.2,12,0.0,0.0,34.200000,34.200,304,155,149,0.2,12,0.0,0.3,34.200000,34.200,280,137,143,0.1,3,0.0,0.0,34.200000,34.200,413,148,135,130,0.0,0,0.0,0.0,34.200000,34.200,308,129,141,38
